,title,review,date,yes,no
10,Still waiting for some needed updates,"So far my Google Home (GH) experience has been a little of a let-down.  Only one Google account can be set up for now which means that shared calendar information is not handled by GH.  I share a calendar with my wife and hers is the primary calendar used for family planning.  GH does not list any events created on her calendar, only my primary calendar.  I also wish I could force it to recognize a certain route to my work.  It often provides travel times for alternate routes which are not good options for me. GH also only allows one shopping list so you cannot currently set up a shopping list for several different stores.  I do like how it integrates with Chromecast Audio.  You can set up speaker groups which is nice.  As for the GH itself, speaker quality is decent.  It lacks highs but handles bass sufficiently for the size of the unit.  For now it is just a novelty.  Without added updates, its value to me will be limited.",12/11/2016,(129),(91)
11,Amazon echo blows this away. I have both.,"I never seen Google deliver a product that wasn't great until now. I have Google for everything (including cell phone service on project Fi). I had high expectations for this device. The speaker quality and volume is only half of the echo. Both have a shopping list (this is the only thing Google slightly does better). The playing of music is where Google me their biggest corporate mistake EVER! And specifically playing random music (e.g. ""hey Google play...""). The echo will do this for free on most songs or of you have Amazon prime, almost any song. Google will not play any random songs (yes it back has Pandora), unless you pay for YouTube red. Yes YouTube is free on any device (including an Apple iPhone), but on the Google home, you have to pay!!! Maybe Google will change this on the future but for now Amazon is the big winner when it comes to these little in home devices.",12/29/2016,(95),(41)
12,"Very Good, with Only a Few Hiccups","I really like the Google Home. If you've thought about buying one, I would recommend it. (I've never tried the Alexa, but I've heard GH is better. The price is definitely better.)

There were a few hiccups, however. First, I had to buy a new wifi router because my old one was too old or inefficient; I'm not sure what the problem was, but I couldn't get the GH to connect to it. I bought a new Belkin (for about $60) and now everything works fine.

Second, the GH right now is more of a novelty than anything else. It answers questions (briefly) and plays music. It can do other things, but at the moment that's all I do with it. 

However I really like the technology, and I'm sure that in the future all appliances (TVs, computers, microwaves, etc.) will be able to tie into the GH. This will enable you to say, ""Hey Google, preheat the oven to 350."" At the moment such tech doesn't exist--or I don't have it--but I'm sure it will become more common (just like wifi is now almost universal). I know that it can do some things like that, but I don't have the tech set up to enable it to do so.",1/23/2017,(75),(41)
13,Google Home Assistant,"Fine example of AI (Artificial Intelligence).  Works well.   Simple Plug & Play installation.  Download and setup App to make personal preferences, location, etc.  Device has incredible sound and the ability to ""understand"" you.  The female voice is clear and pleasant.  It is in the learning stages so not everything you ask it yields a successful response.  You get its attention by saying ""OK Google"", ""Hey Google"" works too.    Works with Chromecast devices to turn on/off lights, TV viewing, etc..  Read the product description online to get a good understanding of this device and its capabilities.  I'd like to able to customize ""OK Google"" to another wakeup phrase, along with the thousands of other Home users.  Home has the ability to translate into many languages but not as many as Google Translate on my Android phone (?).  I like the instant weather and news updates just by asking ""How's my day?"".  It is a bit of a gadget and this point but I have faith that Google will make this the best on the market by bettering it's completion (Echo, Siri, Alexa).",3/4/2017,(114),(107)
14,Side by side,"The Google Home sits beside my Amazon Echo.  I've enjoyed the Echo but I wanted the vast wealth of information that Google has that is missing on the Echo.  I can't notice a difference in audio quality but my husband says the Echo sounds better. The Home gives me more music options than the Echo since my Google Play Music, Pandora and Spotify accounts are not the premium levels. One thing I miss on the Home is that the Echo can be set to sound an audible tone when it hears the wake word. I miss that handy feature on the Home. The Home handles math calculations more naturally than the Echo because it recognizes monetary terms.

Alexa, what's 20% off of ten dollars? ""20% of ten dollars is two dollars.""

Hey, Google, what's 20% off of ten dollars? ""The answer is eight US dollars.""

Obviously Google knows how I shop better than Alexa.",12/6/2016,(126),(43)
15,Can't imagine life without this now!,"I'm far more impressed than expected. Having both Amazon Echo and now Google Home, I'd recommend Google Home especially if you're a Google user. The speaker sounds amazing! I can hear music playing throughout the entire house. Google Homes capabilities are endless- plays games with you and tells jokes (kids love this!), gives me traffic updates before I leave for work in the morning, keeps track of my shopping / Christmas list, operates my TV, lights and thermostat, great for homework or just random questions. I find this to be very educational for kids.",11/15/2016,(521),(59)
16,Does less than advertised,"Though the Google Home is great for answering questions, it's ability to do much else (without paying hefty additional fees) is quite limited.  For example, you must pay an extra $30 for each light you want controlled and an extra $70 for connecting it to your TV. Even then, the functions are very basic.  The biggest drawback is that you cannot request Google Home to play a song from your music library (even using Google Music) unless you purchase a premium Google Music account.  What?!  All in all, I highly recommend that you wait to purchase Google Home until these features become standard.",9/11/2017,(60),(18)
17,Google Home is AMAZING,"I purchased this product during the $99 promotion and it is just amazing. Shipping was also fast. So seamless and intuitive, setup was a breeze. Very happy with being able to use a speaking voice (and it responds to both ""Hey google"" and ""Ok google"") and it hears/understands both me and my wife so no ""voice setup"" required like it is on your phone. Great design, very nice sound quality. There are a few features not developed yet that I really want it to do like being able to send an email or text/call, or being to understand more languages besides English- but this is definitely the future. I can see myself using this product for a long time, and starting to use more ""smart"" products so I can take advantage of the full ""smart home"" setup.

Love this!!",11/28/2016,(145),(35)
18,Smartest Member of my Family!,"It is easy to set up.   Connect it to your wireless network and download the software to your smartphone.  Easy to navigate.  She is not married and does not have any children - yes - we asked these questions.  Sadly, when asked if we could change her name she said it was too much work for google to do this :-( and yes, she did answer this question.   Keeping the google calendar linked between my phone & my desktop and now easily availabe on google home is great.  It does NOT let you ADD an appointment and I hope this becomes available.  Another reason for the 4 stars is the limited music choices compared to Alexa.  I would like to see iHeart Radio and even Sirrus radio would be nice to have too.  The kids use for homework and I'm always using it while cooking for setting timers, alarms to wake up the kids.  LOVE IT!  Definitely smarter than Alexa.",1/10/2017,(19),(5)
19,GH: The Best Voice Assistant on the Market,"The decision was simple for me, GOOGLE ASSISTANT, Google is Light Years ahead of the competition, don't believe me, ask any of the competition follow-up questions.  If you like repeating the same question with additional content (follow-up) then the GH is not for you.  BUT if you like to have a normal conversation, GH is the way to go.  Google Assistant builds on your question with answers that are more normal to human interaction.

Now if you are an Amazon person, a Prime member, one who orders a lot with Amazon,  it is understandable to use Amazon's voice assistant, easy to order and track orders.  Amazon is in the business to sell you stuff, Google is an information/search company.

You will hear/read that GH (Google Home) is limited to a small list of devices, Not True, don't believe me, go to IFTTT.com for the huge list of supported devices.  ex. WeMo Switch is not directly supported, at this time, through GH app, BUT they work great through IFTTT service, actually better since you have more options/triggers with IFTTT.

I am extremely pleased with GH, bought 2 of them, one for our daughter who is more a Google person than I.  She will love it for Christmas...Can't wait to show her the IFTTT world...",12/8/2016,(92),(26)
20,Such wonderful stereo from a Little Item,"I get Google Music which includes commercial free YouTube.  I love this device.  You have to say ""hey Google"" every time you want a new command and say it a little distance from the top.  You can ask it questions and it will answer.  I say ""Hey Google, play google music Vince Guilardi jazz album and there it goes.  You have to get the Google home app to start it up and connect it to your wifi.  Feel free to call to set it up, the guy I talked to spoke great English and was very patient with me as I'm not a youngster so I'm not familiar with electronics.  Highly recommend you don't have to worry about the music staying up on your computer.  You have to have a smart phone or tablet to use.  A laptop is not enough to set this up.",10/1/2017,(79),(52)
21,Microphone needs improvement,The microphone is useless when the speaker volume is high. Requires that you shout at the top of your voice.,3/29/2018,(0),(0)
22,I wish i could rate it lower,"I wish i could give it lower that one star. The device, although seems interesting lacks some key features, i.e. reliability and usability. let me explain.

First things first, it is not very easy to create your own playlists and/or play music. Takes a long time and effort to set it up and then it is not very easy to do unless you BUY the google play service. I think that is not very helpful.

But the bigger issue is reliability. The first unit died within two weeks. It simply will not hear anything. I tested with online support (spent a couple of hours through reset and all) and the only option they would give me is to send my unit to them (I pay for shipping and then in 5-10 business days they will send a replacement. Well lucky for me, the device was still under 30 days so easy return.

Then I bought the two pack from Costco. Configured the device and two days later it bit the dust as well. this time the device shows the 4 white dots, nothing else. no response, cannot reset nothing. Worked with support, this time I had the worst support rep, completely ignoring all messages and symptoms i sent and kept asking me the same questions over and over again. For example, after i sent the initial message (Only white colored dots...), the rep asked me what color dots and are they changing color? or how long has it been happening or does it happen with only me or anyone else also? Remember, the device is NOT working, not responding at all.

Anyways, i am very disappointed with the device quality and customer support. will NOT buy this device again.",12/3/2017,(76),(64)
23,"Best darn thing, since sliced bread.","I took a chance buying this device, because I don't own a Smart Phone, but have a Tablet with Android. That was enough, to get it working, and now it's my main source for music. It will play any song by any artist, that's within u tubes library.  Plus while your chilling on the music, you can get it to answer, almost any question you have.  To me, it's the best, of both worlds.  Really love this device, you HAVE TO GET ONE.  Sorry, about screaming, only to make a point.",12/10/2016,(40),(4)
24,Works great,Arrived on time. And works as expected,3/23/2018,(0),(0)
25,Google Home Purchase,I bought this product and I am so happy and excited about it. I went home and tried it out and entertained myself for hours. My kids love asking it questions and learn from it. I use this to operate house lights (you have to purchase this separate). I am buying another one to do whole house speaker and have more than one for the bedroom and one for the living area. It is super easy to setup and user friendly. I am by far not a person who understands technology very well and I was able to get this going. This is great and my wife loves it. The speaker is really good for how small it is. I guarantee you will enjoy this product!,11/29/2016,(68),(17)
26,Let down by the music feature!,"I chose the Google Home over Amazon's Echo due to having an extensive personal library of music in Google Play.  Unpacking and using Google Home at first was great.  Ask it play any song from any artist, and it would play exactly as asked.  The more I used Google Home for music though, the more limited I found it to be.  I realized it doesn't connect to my Google Play library, and seemingly what was a trial, does not play the specific songs any longer.  It now selects ""similar playlists"" that it finds, and plays something related.  Sure, I can use it as a bluetooth speaker, but this is not what I thought I was paying for and hugely disappointed to find out this music feature is now a pay service.  So now if I want Google Home to play a specific song by an artist, I have to pay for the Premium services.  Whether its Spotify, Google Play, Pandora, or YouTube Red, guess what, you have to pay.  For many years, I have been using Google for many of their apps, services and devices, but unfortunately, this one is not for me.  Huge let down, and happily returned it today as I don't need a novelty bluetooth speaker that tells me jokes or talk about the weather.",1/10/2017,(7),(1)
27,Google Home,A welcome addition to our smart home.So much more than a speaker.,12/7/2017,(5),(1)
28,Makes life easier,Still getting used to Google Home but enjoying it so far. We are slowly adding lightbulbs and outlets to make life easier. I love being able to get my shopping list by saying what I need throughout the week. I'm confident Google will add much more to make life a little easier. The speaker sounds great for it's size and looks good too. We also bought the mini for our bedroom. Makes turning off lights feel like magic as we drift of to sleep listening to ocean waves to cover the sound of noisy neighbors. Very happy we decided to go with Google.,2/27/2018,(0),(0)
29,Excellent Assistant,"I was on the fence between this and the Amazon Echo. I fell and bumped my head and purchased this. Glad I  did. This thing is awesome with it's conversational mastermind!!
Love listening to the news, weather and getting traffic updates early in the mornings. Nice addition to my office!",12/6/2016,(40),(6)
30,I like it.,"It does what I need it to do. I keep the little one on the screen porch for stock quotes, weather, and alarms. They big one I use inside for a number of things. I did have to get a young girl with little fingers and a smartphone to download the app for me and get it on my wifi. Those kids are amazing on those things. Will be getting some accessories for it soon.",3/1/2018,(0),(0)
31,This was a great idea,I got this for my daughter. She lost her eyesight about 2 years ago and she really enjoys it,3/7/2018,(0),(0)
32,Great product and easy to set up.,Was so easy to set up and use. I had this item up and integrated with all my lights and plugs in no time. Best of all like some other systems it does not come with a yearly fee,10/19/2017,(13),(5)
33,It is more powerful than Alexa,"Since it has access to YouTube for music and Google Assistant for internet searches, it is more powerful than Alexa.  Also Google is ahead of everyone in Artificial Intelligence which it will incorporate into the Google Home and Google Mini boxes.",10/18/2017,(14),(6)
34,Love it but lacking some expected things,"Google Home has become a daily part of my life. I look forward to using it every day, particularly when I start my mornings with asking it ""Tell me about my day"". The fact that it's so easy to integrate it with all my smart home devices and cast to it from my Android phone with ease is wonderful. The fact that I can ask it questions, and it has contextual awareness of previous questions I've asked is awesome. Music playback and being able to use it to play videos off of voice command on to my chromecast is great!

Ok, now to the things I find missing: it doesn't integrate as well with casting general audio from an iOS device. This means that you can only cast to it through apps that support casting. This is also the case with the chromecast, but honestly, considering that it is a speaker, I would at least have liked to have the bare bluetooth connectivity functionality that I expect out of other speakers in my home (or even the Amazon Echo). Also there are many commands that it says it ""can't do yet"", like adding stuff to my calendar, setting reminders, making calls, sending texts etc.. Also the device is really only tied to one familiy member's Google account, so any accounts and preferences you might have will be specific to you and not to other people that are in your home. They won't be able to play their own curated Spotify playlists or youtube playlists. That isn't to say that if you mention an artist you want to listen to, it won't auto-generate a playlist for you. 

At the end of the day, despite the lack of bluetooth capabilities and single-Account service, I have faith that Google will open up APIs for community development and even for their own service integration so that calendar, reminders, etc. actually work through it. I happened to get it at around $100, so the price point was also a big reason for me to get it over the Echo. Also, the Echo, while a bigger speaker with more mics and slightly more capabilities for the minute, is just not as smart of a device. I feel that inevitably this is Google's element and they are poised to do better than the Echo.",12/13/2016,(28),(3)
35,,"Amazing device, and even more amazing sound. For such a small unit I'm surprised how much bass it produces, and how well it fills a family room with high ceilings and a kitchen totaling around 600 sq.ft.",11/28/2017,(12),(8)
36,,"I do enjoy this product as it reminds me of the amazon alexa which I've been wanting and when got this, i just didn't enjoy it as much as i had thought i would. I just returned it because i have to almost scream for this thing to hear/understand me. :(",3/1/2018,(0),(0)
37,Amazon Echo still ahead,"The greatest thing impacting my rating is the Amazon Echo does more than Google Home. One example, is the Echo handles google calendars better than Home. Another is I have Echo linked to several Wemo devices in our home and it performs flawlessly. Home can't handle the Wemo devices yet. Many of Homes shortcomings can be overcome using IFTTT programing, but it would be nice if more functionality worked right out of the box. It also doesn't have the same capabilities as Google Now on our smart phones as far as doing internet searches. I think it will be a great device once more functionality is built in.",12/6/2016,(28),(8)
38,Very Well Dome,"well its in very good quality, very nicely done, thanks",3/1/2018,(0),(0)
39,Great product!,So intuitive and helpful.,3/1/2018,(0),(0)
40,,Outstanding product!  To bad I didn't have one during high school :),2/28/2018,(0),(0)
41,,We are having a good time with google home.  The sound is fabulous and we are enjoying listening to music of our choice.,12/6/2017,(2),(0)
42,,Great!,2/27/2018,(0),(0)
43,,I was very disappointed with this product. I had to take it back to the store because I could not use It on the computer. I needed a smart phone or tablet. I bought a second generation Amazon Echo and Bought a Lenovo tablet and it works great. I can get its features on the computer.,1/6/2018,(2),(1)
44,Need to sell my Amazon Echo,"This is a great device!  I've owned an Amazon echo for some time now, but this is definitely a better device, in my opinion.  Couple it with a few Chromecast  audio and stream audio all over your house.  I use it mainly for calendar, news, and music.",12/7/2016,(16),(2)
45,Good experience and nice speakers,"I was bit hesitant as I have used Echo before. But Google Home is more accurate in getting queries. And most surprising part was that its speaker is pretty good. Not like super premium Bose but for 129$, its really nice.

And it looks cool!!",11/4/2016,(69),(20)
46,Good device....needs more integration,"The speakers and microphone are very good. Its able to understand most things you tell it.

One thing is that google needs to add more service integrations to be able to make it more useful.",11/17/2016,(62),(17)
